review,nickname,dt,star,gong,bgong
"비에 젖지 않는 고급 장난감 텐트와, 비에 젖다 못해 잠겨버리는 반지하 가구",brilliant_AKA_밝음bril,2019.05.30,10,29485,1529
최근 본 영화중 가장 충격적이었음... 근데 보니까 15세말고 19세 걸어야될것같던데..,김희정priv,2019.05.30,10,19185,1631
"지하철이라는 단어가 언급되는 순간, 대다수의 관객은 자신이 어디에 이입할 지를 안다.",리오papi,2019.05.30,10,17873,1139
전 가정부가 집 벨 누를 때 부터 이 영화는 장르가 바뀐다... 역대급 꿀잼영화,멍뭉이sumi,2019.05.30,10,17465,951
황금종려상 수상작을 자막 없이 볼 수 있다는 것 자체로 좋다.,여행의 발견riod,2019.05.30,10,16477,816
반지하가 제일 아래인줄 알았다. 내려가보니 지하도 있었다.,페르sa02,2019.05.31,9,13299,310
뭔가 모를 불쾌한 영화였다. 영화가 불쾌하다는게 아니라 보는 내내 가슴에 뭔가 영화에서 나오는 수석이 얹혀져있는 영화다.,크렙하스powe,2019.05.30,8,12503,737
관람객나 또한 누군가의 사람 사는 냄새에 얼굴 찌푸리진 않았었나..,블루이즈cank,2019.05.30,8,11373,434
"누군가의 냄새를 맡고, 평가하고, 묘사할 수 있는 것 또한 권력. 냄새로 서로를 알아보고 경계하고 구분짓는 동물들의 세계와 우리 사회는 참 닮아있다.",도미dudd,2019.05.30,10,11430,500
박서준이 잘못했네ㅋㅋㅋㅋ,구마gym9,2019.05.30,10,11154,455
봉테일이 간과한 것 - 납골당은 눈높이에 있는 곳이 가장 비쌉니다. 죽음에도 빈부격차가 있어요.,도토리라떼ysy0,2019.06.01,10,10803,458
등급조정이 필요해보입니다. 청소년들은 감당하기 버거운 내용이에요.,코튼spee,2019.05.30,8,12000,2030
막판에 나오는 기우의 바램은 이루어지지 않겠지.. 계획하면 계획대로 안되니까,lsy7,2019.05.30,10,10174,255
누군가는 쏟아져 내리는 빗물을 장난감 텐트로도 막을 수 있지만 다른 누군가에게는 똥구정물이 되어 차오른다. ‘계획’만으로는 올라갈 수 없는 우리네 사회구조의 냉혹하고도 잔인한 현실이 세련된 연출력으로 수석처럼 무겁게...,최영환cpla,2019.05.30,10,9490,457
갑에게 감사하며 을들끼리 싸웁니다. 우리사회의 축소판,hima,2019.05.30,10,9238,247
박사장은 기택의 냄새에 대해서는 언급하지만 기우와 기정과의 냄새에 대해 언급하지 않는다. 기우와 기정은 명문 교육을 받은 자기와 같은 선상에 설 수 있는 사람이라고 인식했고 기택은 하등한 사람이라고 인식했기때문에.....,연jsy4,2019.06.02,10,9050,231
"사이다를 기대했는데 소주 세 잔을 얻어마신 기분이다. 첫번째 잔은 즐겁고, 두번째 잔은 어지럽고, 세번째 잔은 너무 쓰네..",이현우AEhyun,2019.05.30,10,8835,357
인디언 추장 모자쓴 송강호의 표정이 이영화 모두를 담아낸다,Kwoonikto8,2019.05.30,9,8549,365
"관람객누군가는 집을 잃고 모든 재산을 잃는 어마어마한 홍수가,누구에게는 그저 그 다음날 미세먼지가 없게 해주는, 집의 정원을 운치있게 만들어주는 장치일 뿐..",현우람math,2019.05.30,10,7475,207
변기위에서 담배피는 장면이 되게 강렬했음,펭귄마이크cys4,2019.05.30,10,7364,228
연기는 말이 필요없고 시나리오가 너무 독특하다. 가족희비극이라고 해서 신파가 조금이라도 있을거라고 생각했는데 아니었다. 애들 데리고 보는 건 추천하지 않는다.,에이레이gjwl,2019.05.30,10,7164,335
"우리가 무계획자인 이유, 대왕카스테라가 망했기때문.",노원스테이션born,2019.05.30,8,6213,378
"다른 사람들은 웃던데 난 어느 순간부터 못 웃겠더라. 영화라고하지만 나에겐 거의 다큐로 보였다. 이 영화를 보고 기립박수를 칠 수 있다니, 난 짓눌릴 듯해서 한참을 일어서기가 힘들었는데.",김유탁wksk,2019.05.30,10,6023,470
외국에서 대왕 카스테라에 담겨진 의미를 알까? 우리 사회와 이 시대를 잘 담아낸 영화라고 본다,위드북스gehe,2019.05.30,8,5447,187
본인은 조수석 헤드에 발 올리고 타면서도 운전기사의 체취는 못참아 창문을 열 때. 자식이 호흡곤란 일으켜서 급하게 차키를 챙기는 와중에도 다른 손으로 코를 감싸쥘 때.. 뭐라 할 말을 잃었다 정말 무서운 영화,송채윤cyun,2019.05.31,10,5098,190
새역사가 써진기분...스포는 자제해주세요...영화를 사랑하는 사람으로서 부탁드립니다...,미레카sodi,2019.05.30,10,5589,686
전 개인적으로 조여정 연기가 너무 좋았어요. 블랙 코미디와 너무 잘 어울리시는 듯. 나올 때마다 빵 빵 터졌어요. 시나리오 신선하고 연기와 연출 좋았습니다. 뒷부분만 살짝 아쉬웠어요.,무무alai,2019.05.30,9,5181,314
"야하고 폭력적인 장면이 있어서가 아니라, 우리사회의 양극단을 너무나 가감없이 보여줘서 19세로 해야한다.. 영화를 보고 나올 때부터 가슴에 얹힌 돌이 너무 무겁기 때문에",예에kitt,2019.05.30,10,4910,289
대한민국 최상위계층과 최하위계층의 삶을 계속 번갈아가면서 보여준다. 누군가에겐 삶의 터전을 잃게하는 재난이 누군가에겐 미세먼지를 제거해주는 상쾌한 반가움이 되는것... 그냥 기분이 더럽다,Dysquithbusk,2019.05.30,8,4753,199
이정은님 연기 정말 최고였다!,sowoojoo1121sunw,2019.05.30,10,4616,163
봉준호 당신은 계획이 다있구나!,김민중mjk4,2019.05.30,10,4440,225
불이켜지면 벌레들은 각자의 자리로 돌아간다는 대화가 핵심인듯,isw1,2019.05.30,10,4275,94
전 가정부 나올때부터 소름돋은건 나뿐인가?,Yobssjy,2019.05.30,10,3847,130
쇼파에서 그렇고 그런상황들을 몰래 책상밑에 숨어 자기 자식들과 엿들으며 숨어있어야 한다는 그 현실이 얼마나 비참했을까 팔로 자기 두눈을 그냥 가리고 힘없이 있었던 송강호가 자꾸 눈에 밟힌다..,날snr6,2019.05.31,10,3790,108
